Team_Leader,Avenger1,Avenger2,Avenger3,Location,Enemy,Outcome,Weather,Time_of_Day,Duration
Iron Man (Tony Stark),Thor (Thor Odinson),Hulk (Bruce Banner),Black Widow (Natasha Romanoff),Sokovia,Ultron,Victory,Stormy,Evening,6 hours
Black Panther (T'Challa),Shuri (Shuri),Okoye (Okoye),M'Baku (M'Baku),Wakanda,Erik Killmonger (N'Jadaka),Victory,Sunny,Afternoon,4 hours
Thor (Thor Odinson),Loki (Loki Laufeyson),Valkyrie (Brunnhilde),Heimdall (Heimdall),Asgard,Hela,Defeat,Cloudy,Evening,5 hours
Spider-Man (Peter Parker),Iron Man (Tony Stark),Doctor Strange (Stephen Strange),Black Panther (T'Challa),New York City,Kingpin,Victory,Clear,Afternoon,3.5 hours
Captain Marvel (Carol Danvers),Scarlet Witch (Wanda Maximoff),Quicksilver (Pietro Maximoff),Vision (Vision),London,Magneto,Defeat,Rainy,Night,4 hours
Captain America (Steve Rogers),Winter Soldier (Bucky Barnes),Falcon (Sam Wilson),Scarlet Witch (Wanda Maximoff),Berlin,Hydra,Victory,Sunny,Morning,4 hours
Thor (Thor Odinson),Valkyrie (Brunnhilde),Hulk (Bruce Banner),Hela (Hela),Asgard,Hela,Defeat,Cloudy,Afternoon,5.5 hours
Iron Man (Tony Stark),War Machine (James Rhodes),Spider-Man (Peter Parker),Hawkeye (Clint Barton),Tokyo,The Mandarin,Victory,Clear,Evening,3.5 hours
Captain Marvel (Carol Danvers),Nick Fury (Nick Fury),Maria Hill (Maria Hill),Agent Coulson (Phil Coulson),London,Hydra,Victory,Foggy,Night,4 hours
Captain America (Steve Rogers),Black Widow (Natasha Romanoff),Ant-Man (Scott Lang),Winter Soldier (Bucky Barnes),Siberia,Red Skull,Defeat,Snowy,Night,5 hours
Iron Man (Tony Stark),Thor (Thor Odinson),Hulk (Bruce Banner),Black Widow (Natasha Romanoff),Sokovia,Ultron,Victory,Stormy,Evening,6 hours
Black Panther (T'Challa),Shuri (Shuri),Okoye (Okoye),M'Baku (M'Baku),Wakanda,Erik Killmonger (N'Jadaka),Victory,Sunny,Afternoon,4 hours
Thor (Thor Odinson),Loki (Loki Laufeyson),Valkyrie (Brunnhilde),Heimdall (Heimdall),Asgard,Hela,Defeat,Cloudy,Evening,5 hours
Spider-Man (Peter Parker),Iron Man (Tony Stark),Doctor Strange (Stephen Strange),Black Panther (T'Challa),New York City,Kingpin,Victory,Clear,Afternoon,3.5 hours
Captain Marvel (Carol Danvers),Scarlet Witch (Wanda Maximoff),Quicksilver (Pietro Maximoff),Vision (Vision),London,Magneto,Defeat,Rainy,Night,4 hours
Captain America (Steve Rogers),Winter Soldier (Bucky Barnes),Falcon (Sam Wilson),Scarlet Witch (Wanda Maximoff),Berlin,Hydra,Victory,Sunny,Morning,4 hours
Thor (Thor Odinson),Valkyrie (Brunnhilde),Hulk (Bruce Banner),Hela (Hela),Asgard,Hela,Defeat,Cloudy,Afternoon,5.5 hours
Iron Man (Tony Stark),War Machine (James Rhodes),Spider-Man (Peter Parker),Hawkeye (Clint Barton),Tokyo,The Mandarin,Victory,Clear,Evening,3.5 hours
Captain Marvel (Carol Danvers),Nick Fury (Nick Fury),Maria Hill (Maria Hill),Agent Coulson (Phil Coulson),London,Hydra,Victory,Foggy,Night,4 hours
Captain America (Steve Rogers),Black Widow (Natasha Romanoff),Ant-Man (Scott Lang),Winter Soldier (Bucky Barnes),Siberia,Red Skull,Defeat,Snowy,Night,5 hours
Iron Man (Tony Stark),Thor (Thor Odinson),Hulk (Bruce Banner),Black Widow (Natasha Romanoff),Sokovia,Ultron,Victory,Stormy,Evening,6 hours
Black Panther (T'Challa),Shuri (Shuri),Okoye (Okoye),M'Baku (M'Baku),Wakanda,Erik Killmonger (N'Jadaka),Victory,Sunny,Afternoon,4 hours
Thor (Thor Odinson),Loki (Loki Laufeyson),Valkyrie (Brunnhilde),Heimdall (Heimdall),Asgard,Hela,Defeat,Cloudy,Evening,5 hours
Spider-Man (Peter Parker),Iron Man (Tony Stark),Doctor Strange (Stephen Strange),Black Panther (T'Challa),New York City,Kingpin,Victory,Clear,Afternoon,3.5 hours
Captain Marvel (Carol Danvers),Scarlet Witch (Wanda Maximoff),Quicksilver (Pietro Maximoff),Vision (Vision),London,Magneto,Defeat,Rainy,Night,4 hours
Captain America (Steve Rogers),Winter Soldier (Bucky Barnes),Falcon (Sam Wilson),Scarlet Witch (Wanda Maximoff),Berlin,Hydra,Victory,Sunny,Morning,4 hours
Thor (Thor Odinson),Valkyrie (Brunnhilde),Hulk (Bruce Banner),Hela (Hela),Asgard,Hela,Defeat,Cloudy,Afternoon,5.5 hours
Iron Man (Tony Stark),War Machine (James Rhodes),Spider-Man (Peter Parker),Hawkeye (Clint Barton),Tokyo,The Mandarin,Victory,Clear,Evening,3.5 hours
Captain Marvel (Carol Danvers),Nick Fury (Nick Fury),Maria Hill (Maria Hill),Agent Coulson (Phil Coulson),London,Hydra,Victory,Foggy,Night,4 hours
Captain America (Steve Rogers),Black Widow (Natasha Romanoff),Ant-Man (Scott Lang),Winter Soldier (Bucky Barnes),Siberia,Red Skull,Defeat,Snowy,Night,5 hours
Iron Man (Tony Stark),Thor (Thor Odinson),Hulk (Bruce Banner),Black Widow (Natasha Romanoff),Sokovia,Ultron,Victory,Stormy,Evening,6 hours
Black Panther (T'Challa),Shuri (Shuri),Okoye (Okoye),M'Baku (M'Baku),Wakanda,Erik Killmonger (N'Jadaka),Victory,Sunny,Afternoon,4 hours
Thor (Thor Odinson),Loki (Loki Laufeyson),Valkyrie (Brunnhilde),Heimdall (Heimdall),Asgard,Hela,Defeat,Cloudy,Evening,5 hours
Spider-Man (Peter Parker),Iron Man (Tony Stark),Doctor Strange (Stephen Strange),Black Panther (T'Challa),New York City,Kingpin,Victory,Clear,Afternoon,3.5 hours
Captain Marvel (Carol Danvers),Scarlet Witch (Wanda Maximoff),Quicksilver (Pietro Maximoff),Vision (Vision),London,Magneto,Defeat,Rainy,Night,4 hours
Captain America (Steve Rogers),Winter Soldier (Bucky Barnes),Falcon (Sam Wilson),Scarlet Witch (Wanda Maximoff),Berlin,Hydra,Victory,Sunny,Morning,4 hours
Thor (Thor Odinson),Valkyrie (Brunnhilde),Hulk (Bruce Banner),Hela (Hela),Asgard,Hela,Defeat,Cloudy,Afternoon,5.5 hours
Iron Man (Tony Stark),War Machine (James Rhodes),Spider-Man (Peter Parker),Hawkeye (Clint Barton),Tokyo,The Mandarin,Victory,Clear,Evening,3.5 hours
Captain Marvel (Carol Danvers),Nick Fury (Nick Fury),Maria Hill (Maria Hill),Agent Coulson (Phil Coulson),London,Hydra,Victory,Foggy,Night,4 hours
Captain America (Steve Rogers),Black Widow (Natasha Romanoff),Ant-Man (Scott Lang),Winter Soldier (Bucky Barnes),Siberia,Red Skull,Defeat,Snowy,Night,5 hours
Iron Man (Tony Stark),Thor (Thor Odinson),Hulk (Bruce Banner),Black Widow (Natasha Romanoff),Sokovia,Ultron,Victory,Stormy,Evening,6 hours
Black Panther (T'Challa),Shuri (Shuri),Okoye (Okoye),M'Baku (M'Baku),Wakanda,Erik Killmonger (N'Jadaka),Victory,Sunny,Afternoon,4 hours
Thor (Thor Odinson),Loki (Loki Laufeyson),Valkyrie (Brunnhilde),Heimdall (Heimdall),Asgard,Hela,Defeat,Cloudy,Evening,5 hours
Spider-Man (Peter Parker),Iron Man (Tony Stark),Doctor Strange (Stephen Strange),Black Panther (T'Challa),New York City,Kingpin,Victory,Clear,Afternoon,3.5 hours
Captain Marvel (Carol Danvers),Scarlet Witch (Wanda Maximoff),Quicksilver (Pietro Maximoff),Vision (Vision),London,Magneto,Defeat,Rainy,Night,4 hours
Captain America (Steve Rogers),Winter Soldier (Bucky Barnes),Falcon (Sam Wilson),Scarlet Witch (Wanda Maximoff),Berlin,Hydra,Victory,Sunny,Morning,4 hours
Thor (Thor Odinson),Valkyrie (Brunnhilde),Hulk (Bruce Banner),Hela (Hela),Asgard,Hela,Defeat,Cloudy,Afternoon,5.5 hours
Iron Man (Tony Stark),War Machine (James Rhodes),Spider-Man (Peter Parker),Hawkeye (Clint Barton),Tokyo,The Mandarin,Victory,Clear,Evening,3.5 hours
Captain Marvel (Carol Danvers),Nick Fury (Nick Fury),Maria Hill (Maria Hill),Agent Coulson (Phil Coulson),London,Hydra,Victory,Foggy,Night,4 hours
Captain America (Steve Rogers),Black Widow (Natasha Romanoff),Ant-Man (Scott Lang),Winter Soldier (Bucky Barnes),Siberia,Red Skull,Defeat,Snowy,Night,5 hours
Iron Man (Tony Stark),Thor (Thor Odinson),Hulk (Bruce Banner),Black Widow (Natasha Romanoff),Sokovia,Ultron,Victory,Stormy,Evening,6 hours
Black Panther (T'Challa),Shuri (Shuri),Okoye (Okoye),M'Baku (M'Baku),Wakanda,Erik Killmonger (N'Jadaka),Victory,Sunny,Afternoon,4 hours
Thor (Thor Odinson),Loki (Loki Laufeyson),Valkyrie (Brunnhilde),Heimdall (Heimdall),Asgard,Hela,Defeat,Cloudy,Evening,5 hours
Spider-Man (Peter Parker),Iron Man (Tony Stark),Doctor Strange (Stephen Strange),Black Panther (T'Challa),New York City,Kingpin,Victory,Clear,Afternoon,3.5 hours
Captain Marvel (Carol Danvers),Scarlet Witch (Wanda Maximoff),Quicksilver (Pietro Maximoff),Vision (Vision),London,Magneto,Defeat,Rainy,Night,4 hours
Captain America (Steve Rogers),Winter Soldier (Bucky Barnes),Falcon (Sam Wilson),Scarlet Witch (Wanda Maximoff),Berlin,Hydra,Victory,Sunny,Morning,4 hours
Thor (Thor Odinson),Valkyrie (Brunnhilde),Hulk (Bruce Banner),Hela (Hela),Asgard,Hela,Defeat,Cloudy,Afternoon,5.5 hours
Iron Man (Tony Stark),War Machine (James Rhodes),Spider-Man (Peter Parker),Hawkeye (Clint Barton),Tokyo,The Mandarin,Victory,Clear,Evening,3.5 hours
Captain Marvel (Carol Danvers),Nick Fury (Nick Fury),Maria Hill (Maria Hill),Agent Coulson (Phil Coulson),London,Hydra,Victory,Foggy,Night,4 hours
Captain America (Steve Rogers),Black Widow (Natasha Romanoff),Ant-Man (Scott Lang),Winter Soldier (Bucky Barnes),Siberia,Red Skull,Defeat,Snowy,Night,5 hours
Iron Man (Tony Stark),Thor (Thor Odinson),Hulk (Bruce Banner),Black Widow (Natasha Romanoff),Sokovia,Ultron,Victory,Stormy,Evening,6 hours
Black Panther (T'Challa),Shuri (Shuri),Okoye (Okoye),M'Baku (M'Baku),Wakanda,Erik Killmonger (N'Jadaka),Victory,Sunny,Afternoon,4 hours
Thor (Thor Odinson),Loki (Loki Laufeyson),Valkyrie (Brunnhilde),Heimdall (Heimdall),Asgard,Hela,Defeat,Cloudy,Evening,5 hours
Spider-Man (Peter Parker),Iron Man (Tony Stark),Doctor Strange (Stephen Strange),Black Panther (T'Challa),New York City,Kingpin,Victory,Clear,Afternoon,3.5 hours
Captain Marvel (Carol Danvers),Scarlet Witch (Wanda Maximoff),Quicksilver (Pietro Maximoff),Vision (Vision),London,Magneto,Defeat,Rainy,Night,4 hours
Captain America (Steve Rogers),Winter Soldier (Bucky Barnes),Falcon (Sam Wilson),Scarlet Witch (Wanda Maximoff),Berlin,Hydra,Victory,Sunny,Morning,4 hours
Thor (Thor Odinson),Valkyrie (Brunnhilde),Hulk (Bruce Banner),Hela (Hela),Asgard,Hela,Defeat,Cloudy,Afternoon,5.5 hours
Iron Man (Tony Stark),War Machine (James Rhodes),Spider-Man (Peter Parker),Hawkeye (Clint Barton),Tokyo,The Mandarin,Victory,Clear,Evening,3.5 hours
Captain Marvel (Carol Danvers),Nick Fury (Nick Fury),Maria Hill (Maria Hill),Agent Coulson (Phil Coulson),London,Hydra,Victory,Foggy,Night,4 hours
Captain America (Steve Rogers),Black Widow (Natasha Romanoff),Ant-Man (Scott Lang),Winter Soldier (Bucky Barnes),Siberia,Red Skull,Defeat,Snowy,Night,5 hours
Iron Man (Tony Stark),Thor (Thor Odinson),Hulk (Bruce Banner),Black Widow (Natasha Romanoff),Sokovia,Ultron,Victory,Stormy,Evening,6 hours
Black Panther (T'Challa),Shuri (Shuri),Okoye (Okoye),M'Baku (M'Baku),Wakanda,Erik Killmonger (N'Jadaka),Victory,Sunny,Afternoon,4 hours
Thor (Thor Odinson),Loki (Loki Laufeyson),Valkyrie (Brunnhilde),Heimdall (Heimdall),Asgard,Hela,Defeat,Cloudy,Evening,5 hours
Spider-Man (Peter Parker),Iron Man (Tony Stark),Doctor Strange (Stephen Strange),Black Panther (T'Challa),New York City,Kingpin,Victory,Clear,Afternoon,3.5 hours
Captain Marvel (Carol Danvers),Scarlet Witch (Wanda Maximoff),Quicksilver (Pietro Maximoff),Vision (Vision),London,Magneto,Defeat,Rainy,Night,4 hours
Captain America (Steve Rogers),Winter Soldier (Bucky Barnes),Falcon (Sam Wilson),Scarlet Witch (Wanda Maximoff),Berlin,Hydra,Victory,Sunny,Morning,4 hours
Thor (Thor Odinson),Valkyrie (Brunnhilde),Hulk (Bruce Banner),Hela (Hela),Asgard,Hela,Defeat,Cloudy,Afternoon,5.5 hours
Iron Man (Tony Stark),War Machine (James Rhodes),Spider-Man (Peter Parker),Hawkeye (Clint Barton),Tokyo,The Mandarin,Victory,Clear,Evening,3.5 hours
Captain Marvel (Carol Danvers),Nick Fury (Nick Fury),Maria Hill (Maria Hill),Agent Coulson (Phil Coulson),London,Hydra,Victory,Foggy,Night,4 hours
Captain America (Steve Rogers),Black Widow (Natasha Romanoff),Ant-Man (Scott Lang),Winter Soldier (Bucky Barnes),Siberia,Red Skull,Defeat,Snowy,Night,5 hours
Iron Man (Tony Stark),Thor (Thor Odinson),Hulk (Bruce Banner),Black Widow (Natasha Romanoff),Sokovia,Ultron,Victory,Stormy,Evening,6 hours
Black Panther (T'Challa),Shuri (Shuri),Okoye (Okoye),M'Baku (M'Baku),Wakanda,Erik Killmonger (N'Jadaka),Victory,Sunny,Afternoon,4 hours
Thor (Thor Odinson),Loki (Loki Laufeyson),Valkyrie (Brunnhilde),Heimdall (Heimdall),Asgard,Hela,Defeat,Cloudy,Evening,5 hours
Spider-Man (Peter Parker),Iron Man (Tony Stark),Doctor Strange (Stephen Strange),Black Panther (T'Challa),New York City,Kingpin,Victory,Clear,Afternoon,3.5 hours
Captain Marvel (Carol Danvers),Scarlet Witch (Wanda Maximoff),Quicksilver (Pietro Maximoff),Vision (Vision),London,Magneto,Defeat,Rainy,Night,4 hours
Captain America (Steve Rogers),Winter Soldier (Bucky Barnes),Falcon (Sam Wilson),Scarlet Witch (Wanda Maximoff),Berlin,Hydra,Victory,Sunny,Morning,4 hours
Thor (Thor Odinson),Valkyrie (Brunnhilde),Hulk (Bruce Banner),Hela (Hela),Asgard,Hela,Defeat,Cloudy,Afternoon,5.5 hours
Iron Man (Tony Stark),War Machine (James Rhodes),Spider-Man (Peter Parker),Hawkeye (Clint Barton),Tokyo,The Mandarin,Victory,Clear,Evening,3.5 hours
Captain Marvel (Carol Danvers),Nick Fury (Nick Fury),Maria Hill (Maria Hill),Agent Coulson (Phil Coulson),London,Hydra,Victory,Foggy,Night,4 hours
Captain America (Steve Rogers),Black Widow (Natasha Romanoff),Ant-Man (Scott Lang),Winter Soldier (Bucky Barnes),Siberia,Red Skull,Defeat,Snowy,Night,5 hours
Iron Man (Tony Stark),Thor (Thor Odinson),Hulk (Bruce Banner),Black Widow (Natasha Romanoff),Sokovia,Ultron,Victory,Stormy,Evening,6 hours
Black Panther (T'Challa),Shuri (Shuri),Okoye (Okoye),M'Baku (M'Baku),Wakanda,Erik Killmonger (N'Jadaka),Victory,Sunny,Afternoon,4 hours
Thor (Thor Odinson),Loki (Loki Laufeyson),Valkyrie (Brunnhilde),Heimdall (Heimdall),Asgard,Hela,Defeat,Cloudy,Evening,5 hours
Spider-Man (Peter Parker),Iron Man (Tony Stark),Doctor Strange (Stephen Strange),Black Panther (T'Challa),New York City,Kingpin,Victory,Clear,Afternoon,3.5 hours
Captain Marvel (Carol Danvers),Scarlet Witch (Wanda Maximoff),Quicksilver (Pietro Maximoff),Vision (Vision),London,Magneto,Defeat,Rainy,Night,4 hours
Captain America (Steve Rogers),Winter Soldier (Bucky Barnes),Falcon (Sam Wilson),Scarlet Witch (Wanda Maximoff),Berlin,Hydra,Victory,Sunny,Morning,4 hours
Thor (Thor Odinson),Valkyrie (Brunnhilde),Hulk (Bruce Banner),Hela (Hela),Asgard,Hela,Defeat,Cloudy,Afternoon,5.5 hours
Iron Man (Tony Stark),War Machine (James Rhodes),Spider-Man (Peter Parker),Hawkeye (Clint Barton),Tokyo,The Mandarin,Victory,Clear,Evening,3.5 hours
Captain Marvel (Carol Danvers),Nick Fury (Nick Fury),Maria Hill (Maria Hill),Agent Coulson (Phil Coulson),London,Hydra,Victory,Foggy,Night,4 hours
Captain America (Steve Rogers),Black Widow (Natasha Romanoff),Ant-Man (Scott Lang),Winter Soldier (Bucky Barnes),Siberia,Red Skull,Defeat,Snowy,Night,5 hours
Iron Man (Tony Stark),Thor (Thor Odinson),Hulk (Bruce Banner),Black Widow (Natasha Romanoff),Sokovia,Ultron,Victory,Stormy,Evening,6 hours
Black Panther (T'Challa),Shuri (Shuri),Okoye (Okoye),M'Baku (M'Baku),Wakanda,Erik Killmonger (N'Jadaka),Victory,Sunny,Afternoon,4 hours
Thor (Thor Odinson),Loki (Loki Laufeyson),Valkyrie (Brunnhilde),Heimdall (Heimdall),Asgard,Hela,Defeat,Cloudy,Evening,5 hours
Spider-Man (Peter Parker),Iron Man (Tony Stark),Doctor Strange (Stephen Strange),Black Panther (T'Challa),New York City,Kingpin,Victory,Clear,Afternoon,3.5 hours
Captain Marvel (Carol Danvers),Scarlet Witch (Wanda Maximoff),Quicksilver (Pietro Maximoff),Vision (Vision),London,Magneto,Defeat,Rainy,Night,4 hours
Captain America (Steve Rogers),Winter Soldier (Bucky Barnes),Falcon (Sam Wilson),Scarlet Witch (Wanda Maximoff),Berlin,Hydra,Victory,Sunny,Morning,4 hours
Thor (Thor Odinson),Valkyrie (Brunnhilde),Hulk (Bruce Banner),Hela (Hela),Asgard,Hela,Defeat,Cloudy,Afternoon,5.5 hours
Iron Man (Tony Stark),War Machine (James Rhodes),Spider-Man (Peter Parker),Hawkeye (Clint Barton),Tokyo,The Mandarin,Victory,Clear,Evening,3.5 hours
Captain Marvel (Carol Danvers),Nick Fury (Nick Fury),Maria Hill (Maria Hill),Agent Coulson (Phil Coulson),London,Hydra,Victory,Foggy,Night,4 hours
Captain America (Steve Rogers),Black Widow (Natasha Romanoff),Ant-Man (Scott Lang),Winter Soldier (Bucky Barnes),Siberia,Red Skull,Defeat,Snowy,Night,5 hours
Iron Man (Tony Stark),Thor (Thor Odinson),Hulk (Bruce Banner),Black Widow (Natasha Romanoff),Sokovia,Ultron,Victory,Stormy,Evening,6 hours
Black Panther (T'Challa),Shuri (Shuri),Okoye (Okoye),M'Baku (M'Baku),Wakanda,Erik Killmonger (N'Jadaka),Victory,Sunny,Afternoon,4 hours
Thor (Thor Odinson),Loki (Loki Laufeyson),Valkyrie (Brunnhilde),Heimdall (Heimdall),Asgard,Hela,Defeat,Cloudy,Evening,5 hours
Spider-Man (Peter Parker),Iron Man (Tony Stark),Doctor Strange (Stephen Strange),Black Panther (T'Challa),New York City,Kingpin,Victory,Clear,Afternoon,3.5 hours
Captain Marvel (Carol Danvers),Scarlet Witch (Wanda Maximoff),Quicksilver (Pietro Maximoff),Vision (Vision),London,Magneto,Defeat,Rainy,Night,4 hours
Captain America (Steve Rogers),Winter Soldier (Bucky Barnes),Falcon (Sam Wilson),Scarlet Witch (Wanda Maximoff),Berlin,Hydra,Victory,Sunny,Morning,4 hours
Thor (Thor Odinson),Valkyrie (Brunnhilde),Hulk (Bruce Banner),Hela (Hela),Asgard,Hela,Defeat,Cloudy,Afternoon,5.5 hours
Iron Man (Tony Stark),War Machine (James Rhodes),Spider-Man (Peter Parker),Hawkeye (Clint Barton),Tokyo,The Mandarin,Victory,Clear,Evening,3.5 hours
Captain Marvel (Carol Danvers),Nick Fury (Nick Fury),Maria Hill (Maria Hill),Agent Coulson (Phil Coulson),London,Hydra,Victory,Foggy,Night,4 hours
Captain America (Steve Rogers),Black Widow (Natasha Romanoff),Ant-Man (Scott Lang),Winter Soldier (Bucky Barnes),Siberia,Red Skull,Defeat,Snowy,Night,5 hours
Iron Man (Tony Stark),Thor (Thor Odinson),Hulk (Bruce Banner),Black Widow (Natasha Romanoff),Sokovia,Ultron,Victory,Stormy,Evening,6 hours
Black Panther (T'Challa),Shuri (Shuri),Okoye (Okoye),M'Baku (M'Baku),Wakanda,Erik Killmonger (N'Jadaka),Victory,Sunny,Afternoon,4 hours
Thor (Thor Odinson),Loki (Loki Laufeyson),Valkyrie (Brunnhilde),Heimdall (Heimdall),Asgard,Hela,Defeat,Cloudy,Evening,5 hours
Spider-Man (Peter Parker),Iron Man (Tony Stark),Doctor Strange (Stephen Strange),Black Panther (T'Challa),New York City,Kingpin,Victory,Clear,Afternoon,3.5 hours
